                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3315,                 2.7731,                 1.3677,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005475,              0.0005475,              0.0005475
                      2,                 1.3255,                 1.7648,                 1.4582,                0.04142,                0.48258,                0.02379,                0.01073,                 1.9875,                    inf,                 2.9788,              0.0010813,              0.0010813,              0.0010813
                      3,                 1.2976,                  1.624,                 1.4214,                0.39079,                0.06659,                 0.0615,                0.03743,                 2.0569,                 5.1793,                 2.2175,              0.0015931,              0.0015931,              0.0015931
                      4,                 1.2818,                 1.5616,                 1.4228,                0.30101,                0.22601,                0.12403,                0.07881,                 1.7717,                 11.938,                 1.8371,               0.001568,               0.001568,               0.001568
                      5,                 1.2393,                 1.4602,                 1.3668,                0.10646,                0.21875,                0.06545,                0.04205,                 1.9275,                 3.6812,                 1.8766,               0.001535,               0.001535,               0.001535
                      6,                 1.2403,                 1.4025,                 1.3827,                0.43109,                0.47599,                0.34572,                0.23534,                 1.3324,                 2.2229,                 1.6675,               0.001502,               0.001502,               0.001502
                      7,                 1.1928,                 1.3744,                 1.3365,                0.42836,                0.63064,                0.43132,                0.29308,                 1.2134,                 1.5799,                 1.4478,               0.001469,               0.001469,               0.001469
                      8,                 1.1634,                 1.3308,                 1.3222,                0.00465,                0.65513,                0.00413,                0.00286,                 1.2149,                    inf,                 1.5241,               0.001436,               0.001436,               0.001436
                      9,                 1.1458,                 1.2858,                 1.2887,                 0.4488,                0.60058,                0.40656,                0.27191,                 1.3202,                 1.8708,                 1.5068,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1652,                 1.2768,                 1.3051,                 0.4786,                 0.5797,                0.37646,                0.27064,                 1.2048,                 1.9413,                  1.489,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1149,                 1.2719,                 1.2883,                0.45123,                0.73765,                0.46272,                0.32891,                 1.0375,                 1.3586,                 1.3232,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.0925,                 1.2813,                 1.2731,                0.45557,                 0.7771,                0.50556,                0.36903,                0.97743,                 1.3607,                 1.2693,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1059,                 1.2563,                 1.2827,                0.45804,                0.83702,                0.51075,                0.36035,                 1.0091,                 1.1761,                 1.2953,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0897,                 1.2209,                 1.2651,                0.47061,                0.72511,                0.46002,                0.33702,                  1.023,                 1.3386,                 1.2723,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0799,                 1.2219,                 1.2513,                0.44884,                0.71231,                 0.4647,                0.34185,                 1.0203,                 1.3658,                 1.2791,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0727,                 1.1896,                 1.2467,                0.44883,                0.59481,                0.40176,                0.29485,                 1.1653,                 1.7202,                 1.4174,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0215,                 1.1512,                 1.2355,                0.47001,                0.81965,                0.50869,                0.37503,                0.95275,                  1.145,                 1.2409,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0395,                 1.1625,                 1.2297,                0.45906,                 0.8078,                0.50255,                0.38474,                0.92661,                 1.1465,                 1.2132,              0.0011059,              0.0011059,              0.0011059
                     19,                  1.032,                 1.1397,                  1.222,                0.46513,                0.81783,                 0.5176,                0.39431,                0.92283,                 1.1722,                  1.218,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0352,                 1.1332,                 1.2288,                0.45872,                0.79865,                0.49831,                0.37479,                0.99836,                 1.2479,                 1.2742,              0.0010399,              0.0010399,              0.0010399
                     21,                0.98615,                 1.1167,                 1.1883,                0.45552,                0.82078,                0.49515,                0.38232,                0.93971,                 1.1935,                 1.2277,              0.0010069,              0.0010069,              0.0010069
                     22,                0.99861,                 1.1138,                 1.2107,                0.49119,                 0.8788,                0.55276,                 0.4208,                0.90365,                 1.0492,                 1.2086,             0.00097386,             0.00097386,             0.00097386
                     23,                0.98449,                 1.0937,                 1.1831,                0.47224,                0.83212,                0.52012,                0.39028,                0.97912,                  1.187,                 1.2547,             0.00094085,             0.00094085,             0.00094085
                     24,                0.96981,                 1.0747,                 1.1904,                0.48053,                0.83524,                0.53945,                0.40859,                0.91906,                 1.1063,                 1.2083,             0.00090785,             0.00090785,             0.00090785
                     25,                0.99812,                 1.0916,                 1.2087,                0.47558,                0.81731,                0.53653,                0.41533,                0.88658,                 1.1534,                 1.1838,             0.00087484,             0.00087484,             0.00087484
                     26,                0.97798,                 1.0833,                 1.1772,                0.48876,                0.86489,                0.53246,                0.40719,                0.88881,                 1.0442,                 1.1916,             0.00084184,             0.00084184,             0.00084184
                     27,                0.95285,                   1.05,                 1.1732,                 0.4799,                0.82152,                0.52928,                0.39701,                0.93877,                 1.1184,                 1.2184,             0.00080883,             0.00080883,             0.00080883
                     28,                0.93828,                 1.0372,                 1.1778,                0.48747,                0.82267,                0.55854,                 0.4419,                0.85329,                 1.0282,                 1.1684,             0.00077582,             0.00077582,             0.00077582
                     29,                0.92264,                 1.0494,                 1.1523,                0.48926,                0.91751,                0.58326,                0.45478,                0.82133,                 1.0066,                 1.1428,             0.00074282,             0.00074282,             0.00074282
                     30,                0.95998,                  1.074,                 1.1835,                0.48783,                0.89825,                0.57529,                0.44398,                0.84017,                0.98016,                 1.1533,             0.00070981,             0.00070981,             0.00070981
                     31,                0.91915,                 1.0292,                 1.1528,                0.47812,                0.83801,                 0.5531,                0.42022,                 0.8741,                 1.0407,                 1.1805,              0.0006768,              0.0006768,              0.0006768
                     32,                0.90461,                 1.0244,                 1.1434,                0.49619,                0.90918,                0.58079,                0.45361,                0.87161,                0.99893,                 1.1849,              0.0006438,              0.0006438,              0.0006438
                     33,                0.89796,                  1.024,                 1.1318,                0.49409,                0.90771,                0.55815,                0.43324,                0.80482,                0.97877,                 1.1339,             0.00061079,             0.00061079,             0.00061079
                     34,                0.92076,                 1.0227,                 1.1509,                0.49329,                0.85323,                0.55823,                0.43952,                0.83005,                 1.0566,                 1.1435,             0.00057778,             0.00057778,             0.00057778
                     35,                0.89118,                 1.0118,                 1.1364,                0.48959,                0.83974,                0.54263,                0.43574,                0.83347,                 1.0998,                 1.1455,             0.00054478,             0.00054478,             0.00054478
                     36,                0.87716,                 1.0039,                 1.1413,                0.50159,                 0.9376,                0.59922,                0.46951,                0.78907,                0.94859,                 1.1272,             0.00051177,             0.00051177,             0.00051177
                     37,                0.86636,                0.99184,                 1.1295,                0.50698,                0.92874,                 0.6258,                0.50642,                0.74046,                0.90591,                 1.0893,             0.00047876,             0.00047876,             0.00047876
                     38,                 0.8741,                0.98477,                 1.1224,                  0.502,                0.93258,                 0.6271,                0.50761,                0.74887,                0.90301,                 1.0835,             0.00044576,             0.00044576,             0.00044576
                     39,                0.84266,                0.97283,                 1.1111,                 0.4857,                0.96929,                0.62499,                0.49847,                 0.7563,                0.91972,                 1.0927,             0.00041275,             0.00041275,             0.00041275
                     40,                0.85975,                 0.9815,                  1.111,                0.50962,                0.92509,                 0.6264,                0.50699,                0.72895,                0.88455,                 1.0738,             0.00037974,             0.00037974,             0.00037974
                     41,                0.78154,                0.94174,                 1.0885,                0.51427,                0.92561,                0.62957,                0.50997,                0.72946,                0.89436,                 1.0658,             0.00034674,             0.00034674,             0.00034674
                     42,                0.75204,                0.92288,                 1.0715,                 0.5307,                0.88557,                0.69611,                0.56714,                0.72176,                 0.8746,                 1.0603,             0.00031373,             0.00031373,             0.00031373
                     43,                0.75443,                0.90791,                 1.0744,                0.54645,                0.86218,                0.69046,                0.55666,                0.69201,                0.85816,                 1.0443,             0.00028072,             0.00028072,             0.00028072
                     44,                 0.7518,                0.91094,                 1.0621,                0.51147,                0.93497,                0.66974,                0.54251,                0.69426,                0.86522,                 1.0521,             0.00024772,             0.00024772,             0.00024772
                     45,                0.74247,                0.90027,                 1.0618,                0.55029,                0.88972,                0.67826,                0.55972,                0.65838,                0.83717,                 1.0246,             0.00021471,             0.00021471,             0.00021471
                     46,                0.73312,                0.86837,                 1.0521,                0.55787,                0.86485,                0.70838,                0.57821,                0.67379,                0.82924,                 1.0377,              0.0001817,              0.0001817,              0.0001817
                     47,                0.72296,                0.87725,                 1.0489,                0.58332,                0.88798,                 0.7175,                0.58047,                0.66125,                0.82399,                 1.0255,              0.0001487,              0.0001487,              0.0001487
                     48,                0.69915,                 0.8557,                  1.031,                0.54701,                0.92562,                0.71741,                0.59144,                0.63975,                0.81446,                 1.0163,             0.00011569,             0.00011569,             0.00011569
                     49,                0.70031,                0.85215,                 1.0414,                0.56625,                0.87628,                0.73074,                 0.6024,                0.63514,                0.80857,                 1.0128,             8.2683e-05,             8.2683e-05,             8.2683e-05
